arm,group,task,condition,bound,bh_family,n_pairs,n_clusters,n_excluded_non_terminating,mae_delta,ci_low,ci_high,p_value,bh_significant,bh_significant_global
main_sweep,gemma4-e4b/thinking,node_degree,components,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_degree,degree,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_degree,filler,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,gemma4-e4b/thinking,node_degree,rwse,excluded,mae/gemma4-e4b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,all,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,clustering,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,components,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,degree,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,filler,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_count,rwse,excluded,mae/qwen3-14b/thinking/node_count,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,all,excluded,mae/qwen3-14b/thinking/edge_count,27,27,3,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,clustering,excluded,mae/qwen3-14b/thinking/edge_count,28,28,3,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,components,excluded,mae/qwen3-14b/thinking/edge_count,28,28,2,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,degree,excluded,mae/qwen3-14b/thinking/edge_count,28,28,3,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,filler,excluded,mae/qwen3-14b/thinking/edge_count,28,28,2,-0.0,-0.0,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,edge_count,rwse,excluded,mae/qwen3-14b/thinking/edge_count,27,27,3,-0.037037037037037035,-0.1111111111111111,-0.0,1.0,False,False
main_sweep,qwen3-14b/thinking,node_degree,all,excluded,mae/qwen3-14b/thinking/node_degree,30,30,0,-0.0,-0.0,-0.0,1.0,False,False
