arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task,n_mae_imputed,mae_delta
main_sweep,gemma4-e4b,exact,rwse,,False,excluded,main_sweep/gemma4-e4b/excluded,180,180,0.0,19.0,0.0,False,False,0.07222222222222219,-0.03333333333333333,0.0,-0.011111111111111112,-0.05,0.027777777777777776,0.7938412317536493,False,0.6027777777777779,0.04555555555555556,-0.04861111111111111,-0.04555555555555556,0.8,False,,,
main_sweep,gemma4-e4b,exact,all,,True,excluded,main_sweep/gemma4-e4b/excluded/derived,180,180,0.0,11.0,0.0,False,False,0.07222222222222219,0.0,0.16666666666666666,0.044444444444444446,0.011111111111111112,0.07777777777777778,0.020995800839832032,True,,,,,,,,,
main_sweep,qwen3-14b,exact,clustering,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0.0,0.0,False,False,0.09999999999999998,-0.03333333333333333,0.03333333333333333,0.005555555555555556,-0.027777777777777776,0.03888888888888889,1.0,False,0.4166666666666667,0.04111111111111111,-0.052083333333333336,-0.04655555555555556,0.8,False,,,
main_sweep,qwen3-14b,exact,components,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0.0,0.0,False,False,0.09999999999999998,-0.06666666666666667,0.03333333333333333,-0.005555555555555556,-0.03333333333333333,0.016666666666666666,1.0,False,0.4,0.042888888888888886,-0.045312500000000006,-0.043222222222222224,0.8,False,,,
main_sweep,qwen3-14b,exact,degree,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0.0,0.0,False,False,0.09999999999999998,0.0,0.3,0.05555555555555555,0.016666666666666666,0.09444444444444444,0.014397120575884824,False,0.44722222222222224,0.04766666666666667,-0.04861111111111111,-0.044444444444444446,0.8,False,,,
main_sweep,qwen3-14b,exact,filler,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,1.0,0.0,False,False,0.09999999999999998,-0.06666666666666667,0.03333333333333333,-0.016666666666666666,-0.044444444444444446,0.011111111111111112,0.4657068586282743,False,0.41666666666666674,0.04,-0.04861111111111112,-0.045,0.8,False,,,
main_sweep,qwen3-14b,exact,rwse,,False,excluded,main_sweep/qwen3-14b/excluded,180,180,0.0,0.0,0.0,False,False,0.09999999999999998,-0.06666666666666667,0.03333333333333333,0.0,-0.03333333333333333,0.027777777777777776,1.0,False,0.44305555555555554,0.04644444444444444,-0.04583333333333333,-0.04133333333333333,0.8,False,,,
main_sweep,qwen3-14b,exact,all,,True,excluded,main_sweep/qwen3-14b/excluded/derived,180,180,0.0,0.0,0.0,False,False,0.09999999999999998,-0.03333333333333333,0.06666666666666667,0.011111111111111112,-0.016666666666666666,0.03888888888888889,0.7032593481303739,False,0.4444444444444444,0.042444444444444444,-0.048611111111111105,-0.04544444444444445,0.8,,,,
main_sweep,qwen3-8b,exact,clustering,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,2.0,0.0,False,False,0.1333333333333333,-0.03333333333333333,0.1,0.027777777777777776,-0.005555555555555556,0.06666666666666667,0.23235352929414116,False,0.28888888888888886,0.03955555555555555,-0.05190972222222222,-0.043444444444444445,0.8,False,,,
main_sweep,qwen3-8b,exact,components,,False,excluded,main_sweep/qwen3-8b/excluded,180,180,0.0,4.0,0.0,False,False,0.1333333333333333,-0.03333333333333333,0.1,0.011111111111111112,-0.027777777777777776,0.05,0.7742451509698061,False,0.33055555555555555,0.043222222222222224,-0.051041666666666666,-0.043444444444444445,0.8,False,,,
