model,k,approx_tokens,position,magnitude,accuracy,n,dropped
qwen3-1.7b-think,520,3037,0.1,large,0.84,25,0
qwen3-1.7b-think,520,3037,0.1,small,0.88,25,0
qwen3-1.7b-think,520,3037,0.5,large,1.0,25,0
qwen3-1.7b-think,520,3037,0.5,small,0.96,25,0
qwen3-1.7b-think,520,3037,0.9,large,0.6667,24,1
qwen3-1.7b-think,520,3037,0.9,small,1.0,24,1
qwen3-1.7b-think,640,3742,0.1,large,0.6522,23,2
qwen3-1.7b-think,640,3742,0.1,small,0.64,25,0
qwen3-1.7b-think,640,3742,0.5,large,0.875,24,1
qwen3-1.7b-think,640,3742,0.5,small,0.84,25,0
qwen3-1.7b-think,640,3742,0.9,large,0.75,24,1
qwen3-1.7b-think,640,3742,0.9,small,0.96,25,0
qwen3-14b,160,922,0.1,large,1.0,25,0
qwen3-14b,160,922,0.1,small,1.0,25,0
qwen3-14b,160,922,0.5,large,1.0,25,0
qwen3-14b,160,922,0.5,small,1.0,25,0
qwen3-14b,160,922,0.9,large,1.0,25,0
qwen3-14b,160,922,0.9,small,1.0,25,0
qwen3-14b,220,1274,0.1,large,1.0,25,0
qwen3-14b,220,1274,0.1,small,1.0,25,0
qwen3-14b,220,1274,0.5,large,0.96,25,0
qwen3-14b,220,1274,0.5,small,1.0,25,0
qwen3-14b,220,1274,0.9,large,0.96,25,0
qwen3-14b,220,1274,0.9,small,1.0,25,0
qwen3-14b,260,1509,0.1,large,1.0,25,0
qwen3-14b,260,1509,0.1,small,0.96,25,0
qwen3-14b,260,1509,0.5,large,1.0,25,0
qwen3-14b,260,1509,0.5,small,1.0,25,0
qwen3-14b,260,1509,0.9,large,1.0,25,0
qwen3-14b,260,1509,0.9,small,1.0,25,0
qwen3-14b,320,1862,0.1,large,1.0,25,0
qwen3-14b,320,1862,0.1,small,1.0,25,0
qwen3-14b,320,1862,0.5,large,1.0,25,0
qwen3-14b,320,1862,0.5,small,1.0,25,0
qwen3-14b,320,1862,0.9,large,1.0,25,0
qwen3-14b,320,1862,0.9,small,1.0,25,0
qwen3-14b,420,2449,0.1,large,0.96,25,0
qwen3-14b,420,2449,0.1,small,1.0,25,0
qwen3-14b,420,2449,0.5,large,1.0,25,0
qwen3-14b,420,2449,0.5,small,1.0,25,0
qwen3-14b,420,2449,0.9,large,1.0,25,0
qwen3-14b,420,2449,0.9,small,1.0,25,0
qwen3-14b,520,3037,0.1,large,1.0,25,0
qwen3-14b,520,3037,0.1,small,1.0,25,0
qwen3-14b,520,3037,0.5,large,1.0,25,0
qwen3-14b,520,3037,0.5,small,1.0,25,0
qwen3-14b,520,3037,0.9,large,0.96,25,0
qwen3-14b,520,3037,0.9,small,1.0,25,0
qwen3-14b,640,3742,0.1,large,0.88,25,0
qwen3-14b,640,3742,0.1,small,0.96,25,0
qwen3-14b,640,3742,0.5,large,1.0,25,0
qwen3-14b,640,3742,0.5,small,1.0,25,0
qwen3-14b,640,3742,0.9,large,1.0,25,0
qwen3-14b,640,3742,0.9,small,1.0,25,0
qwen3-8b,160,922,0.1,large,1.0,25,0
qwen3-8b,160,922,0.1,small,1.0,25,0
qwen3-8b,160,922,0.5,large,1.0,25,0
qwen3-8b,160,922,0.5,small,1.0,25,0
qwen3-8b,160,922,0.9,large,1.0,25,0
qwen3-8b,160,922,0.9,small,1.0,25,0
qwen3-8b,220,1274,0.1,large,1.0,25,0
qwen3-8b,220,1274,0.1,small,1.0,25,0
qwen3-8b,220,1274,0.5,large,1.0,25,0
qwen3-8b,220,1274,0.5,small,0.88,25,0
qwen3-8b,220,1274,0.9,large,1.0,25,0
qwen3-8b,220,1274,0.9,small,1.0,25,0
qwen3-8b,260,1509,0.1,large,1.0,25,0
qwen3-8b,260,1509,0.1,small,1.0,25,0
qwen3-8b,260,1509,0.5,large,0.96,25,0
qwen3-8b,260,1509,0.5,small,1.0,25,0
qwen3-8b,260,1509,0.9,large,1.0,25,0
qwen3-8b,260,1509,0.9,small,1.0,25,0
qwen3-8b,320,1862,0.1,large,1.0,25,0
qwen3-8b,320,1862,0.1,small,1.0,25,0
qwen3-8b,320,1862,0.5,large,0.92,25,0
qwen3-8b,320,1862,0.5,small,1.0,25,0
qwen3-8b,320,1862,0.9,large,1.0,25,0
qwen3-8b,320,1862,0.9,small,1.0,25,0
qwen3-8b,420,2449,0.1,large,0.96,25,0
qwen3-8b,420,2449,0.1,small,0.96,25,0
qwen3-8b,420,2449,0.5,large,1.0,25,0
qwen3-8b,420,2449,0.5,small,1.0,25,0
qwen3-8b,420,2449,0.9,large,0.88,25,0
qwen3-8b,420,2449,0.9,small,1.0,25,0
qwen3-8b,520,3037,0.1,large,1.0,25,0
qwen3-8b,520,3037,0.1,small,1.0,25,0
qwen3-8b,520,3037,0.5,large,1.0,25,0
qwen3-8b,520,3037,0.5,small,1.0,25,0
qwen3-8b,520,3037,0.9,large,1.0,25,0
qwen3-8b,520,3037,0.9,small,0.96,25,0
qwen3-8b,640,3742,0.1,large,1.0,25,0
qwen3-8b,640,3742,0.1,small,1.0,25,0
qwen3-8b,640,3742,0.5,large,1.0,25,0
qwen3-8b,640,3742,0.5,small,1.0,25,0
qwen3-8b,640,3742,0.9,large,1.0,25,0
qwen3-8b,640,3742,0.9,small,1.0,25,0
qwen3-8b-think,160,922,0.1,large,1.0,25,0
qwen3-8b-think,160,922,0.1,small,1.0,25,0
qwen3-8b-think,160,922,0.5,large,1.0,25,0
qwen3-8b-think,160,922,0.5,small,1.0,25,0
qwen3-8b-think,160,922,0.9,large,1.0,25,0
qwen3-8b-think,160,922,0.9,small,1.0,25,0
qwen3-8b-think,220,1274,0.1,large,1.0,25,0
qwen3-8b-think,220,1274,0.1,small,1.0,25,0
qwen3-8b-think,220,1274,0.5,large,1.0,25,0
qwen3-8b-think,220,1274,0.5,small,1.0,25,0
qwen3-8b-think,220,1274,0.9,large,0.92,25,0
qwen3-8b-think,220,1274,0.9,small,1.0,25,0
qwen3-8b-think,260,1509,0.1,large,1.0,25,0
qwen3-8b-think,260,1509,0.1,small,1.0,25,0
qwen3-8b-think,260,1509,0.5,large,0.96,25,0
qwen3-8b-think,260,1509,0.5,small,0.96,25,0
qwen3-8b-think,260,1509,0.9,large,1.0,25,0
qwen3-8b-think,260,1509,0.9,small,1.0,25,0
qwen3-8b-think,320,1862,0.1,large,1.0,25,0
qwen3-8b-think,320,1862,0.1,small,1.0,25,0
qwen3-8b-think,320,1862,0.5,large,1.0,25,0
qwen3-8b-think,320,1862,0.5,small,1.0,25,0
qwen3-8b-think,320,1862,0.9,large,0.96,25,0
qwen3-8b-think,320,1862,0.9,small,0.96,25,0
qwen3-8b-think,420,2449,0.1,large,1.0,25,0
qwen3-8b-think,420,2449,0.1,small,1.0,25,0
qwen3-8b-think,420,2449,0.5,large,1.0,25,0
qwen3-8b-think,420,2449,0.5,small,0.92,25,0
qwen3-8b-think,420,2449,0.9,large,0.92,25,0
