arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,bh_significant
qwen3-4b-think,lo,edge_existence,degree,none,398,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,edge_existence,filler,none,399,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,edge_existence,all,none,394,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,node_count,components,none,400,0.995,0.995,0.0,2,2,1.0,False
qwen3-4b-think,lo,node_count,clustering,none,399,0.995,1.0,0.5,0,2,0.5,False
qwen3-4b-think,lo,node_count,rwse,none,399,0.995,1.0,0.5,0,2,0.5,False
qwen3-4b-think,lo,node_count,degree,none,399,0.995,1.0,0.5,0,2,0.5,False
qwen3-4b-think,lo,node_count,filler,none,400,0.995,1.0,0.5,0,2,0.5,False
qwen3-4b-think,lo,node_count,all,none,400,0.995,1.0,0.5,0,2,0.5,False
qwen3-4b-think,lo,node_degree,components,none,380,1.0,0.9974,-0.26,1,0,1.0,False
qwen3-4b-think,lo,node_degree,clustering,none,386,0.9974,0.9948,-0.26,2,1,1.0,False
qwen3-4b-think,lo,node_degree,rwse,none,381,1.0,0.979,-2.1,8,0,0.0078125,True
qwen3-4b-think,lo,node_degree,degree,none,388,0.9974,0.9974,0.0,1,1,1.0,False
qwen3-4b-think,lo,node_degree,filler,none,386,1.0,1.0,0.0,0,0,1.0,False
qwen3-4b-think,lo,node_degree,all,none,383,1.0,0.9922,-0.78,3,0,0.25,False
qwen3-4b-think,hi,edge_existence,components,none,300,0.9933,1.0,0.67,0,2,0.5,False
qwen3-4b-think,hi,edge_existence,clustering,none,300,0.9933,1.0,0.67,0,2,0.5,False
qwen3-4b-think,hi,edge_existence,rwse,none,300,0.9933,0.9967,0.33,1,2,1.0,False
qwen3-4b-think,hi,edge_existence,degree,none,300,0.9933,1.0,0.67,0,2,0.5,False
qwen3-4b-think,hi,edge_existence,filler,none,300,0.9933,1.0,0.67,0,2,0.5,False
qwen3-4b-think,hi,edge_existence,all,none,300,0.9933,0.9967,0.33,1,2,1.0,False
qwen3-4b-think,hi,node_degree,components,none,297,0.9764,0.963,-1.35,7,3,0.34375,False
qwen3-4b-think,hi,node_degree,clustering,none,298,0.9765,0.9698,-0.67,7,5,0.7744140625,False
qwen3-4b-think,hi,node_degree,rwse,none,296,0.9764,0.9764,0.0,6,6,1.0,False
qwen3-4b-think,hi,node_degree,degree,none,297,0.9764,0.9731,-0.34,6,5,1.0,False
qwen3-4b-think,hi,node_degree,filler,none,299,0.9766,0.9732,-0.33,4,3,1.0,False
qwen3-4b-think,hi,node_degree,all,none,296,0.9764,0.9865,1.01,3,6,0.5078125,False
