arm,design,task,density,condition,contaminated,length_matched_to_condition,mid_range,n,none_acc,filler_acc,condition_acc,length_cost_pp,length_cost_p,content_gain_pp,content_gain_p,net_pp,net_p,content_outweighs_length,length_cost_bh,content_gain_bh,net_bh
qwen3-1.7b,lo,node_degree,0.2,components,False,False,True,100,0.8,0.73,0.82,-7.0,0.11846923828125,9.0,0.0783538818359375,2.0,0.7744140625,True,False,False,False
qwen3-1.7b,lo,node_degree,0.35,components,False,False,True,100,0.41,0.41,0.44,0.0,1.0,3.0,0.6776394844055176,3.0,0.6776394844055176,True,False,False,False
qwen3-1.7b,lo,node_degree,0.5,components,False,False,True,100,0.3,0.3,0.31,0.0,1.0,1.0,1.0,1.0,1.0,True,False,False,False
qwen3-1.7b,lo,node_degree,0.1,clustering,False,True,False,100,0.91,0.96,0.93,5.0,0.125,-3.0,0.375,2.0,0.75390625,True,False,False,False
qwen3-1.7b,lo,node_degree,0.2,clustering,False,True,True,100,0.8,0.73,0.82,-7.0,0.11846923828125,9.0,0.14961278438568115,2.0,0.8318119049072266,True,False,False,False
qwen3-1.7b,lo,node_degree,0.35,clustering,False,True,True,100,0.41,0.41,0.47,0.0,1.0,6.0,0.361594608053565,6.0,0.40503224614076316,True,False,False,False
qwen3-1.7b,lo,node_degree,0.5,clustering,False,True,True,100,0.3,0.3,0.32,0.0,1.0,2.0,0.855535551905632,2.0,0.8450189828872681,True,False,False,False
qwen3-1.7b,lo,node_degree,0.1,rwse,False,False,False,100,0.91,0.96,0.94,5.0,0.125,-2.0,0.625,3.0,0.5078125,True,False,False,False
qwen3-1.7b,lo,node_degree,0.2,rwse,False,False,True,100,0.8,0.73,0.84,-7.0,0.11846923828125,11.0,0.012725830078125,4.0,0.480682373046875,True,False,True,False
qwen3-1.7b,lo,node_degree,0.35,rwse,False,False,True,99,0.4141,0.41,0.4747,0.0,1.0,7.07,0.3240086000878364,6.06,0.39152830513194203,True,False,False,False
qwen3-1.7b,lo,node_degree,0.5,rwse,False,False,True,100,0.3,0.3,0.33,0.0,1.0,3.0,0.711071103811264,3.0,0.711071103811264,True,False,False,False
qwen3-1.7b,lo,node_degree,0.1,degree,True,False,False,100,0.91,0.96,0.94,5.0,0.125,-2.0,0.5,3.0,0.453125,True,False,False,False
qwen3-1.7b,lo,node_degree,0.2,degree,True,False,True,100,0.8,0.73,0.9,-7.0,0.11846923828125,17.0,0.00048828125,10.0,0.012939453125,True,False,True,False
qwen3-1.7b,lo,node_degree,0.35,degree,True,False,True,100,0.41,0.41,0.59,0.0,1.0,18.0,0.00393317302223295,18.0,0.00393317302223295,True,False,True,True
qwen3-1.7b,lo,node_degree,0.5,degree,True,False,True,100,0.3,0.3,0.29,0.0,1.0,-1.0,1.0,-1.0,1.0,False,False,False,False
qwen3-1.7b,lo,node_degree,0.1,all,True,False,False,100,0.91,0.96,0.97,5.0,0.125,1.0,1.0,6.0,0.14599609375,True,False,False,False
qwen3-1.7b,lo,node_degree,0.2,all,True,False,True,100,0.8,0.73,0.9,-7.0,0.11846923828125,17.0,0.0009105205535888672,10.0,0.052478790283203125,True,False,True,False
qwen3-1.7b,lo,node_degree,0.35,all,True,False,True,100,0.41,0.41,0.58,0.0,1.0,17.0,0.009475304279476404,17.0,0.0137181850586785,True,False,True,True
qwen3-1.7b,lo,node_degree,0.5,all,True,False,True,100,0.3,0.3,0.38,0.0,1.0,8.0,0.2429849540349096,8.0,0.2429849540349096,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.65,components,False,False,True,100,0.68,0.66,0.66,-2.0,0.5,0.0,1.0,-2.0,0.5,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.75,components,False,False,True,100,0.77,0.76,0.77,-1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.85,components,False,False,True,100,0.86,0.85,0.85,-1.0,1.0,0.0,1.0,-1.0,1.0,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.65,clustering,False,True,True,100,0.68,0.66,0.67,-2.0,0.5,1.0,1.0,-1.0,1.0,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.75,clustering,False,True,True,100,0.77,0.76,0.82,-1.0,1.0,6.0,0.109375,5.0,0.2265625,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.85,clustering,False,True,True,100,0.86,0.85,0.86,-1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.65,rwse,False,False,True,100,0.68,0.66,0.7,-2.0,0.5,4.0,0.125,2.0,0.6875,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.75,rwse,False,False,True,100,0.77,0.76,0.77,-1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,hi,edge_existence,0.85,rwse,False,False,True,100,0.86,0.85,0.87,-1.0,1.0,2.0,0.5,1.0,1.0,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.65,degree,True,False,True,100,0.68,0.66,0.71,-2.0,0.5,5.0,0.0625,3.0,0.25,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.75,degree,True,False,True,96,0.7604,0.76,0.8125,-1.0,1.0,6.25,0.14599609375,5.21,0.266845703125,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.85,degree,True,False,True,100,0.86,0.85,0.88,-1.0,1.0,3.0,0.375,2.0,0.625,True,False,False,False
qwen3-1.7b,hi,edge_existence,0.65,all,True,False,True,100,0.68,0.66,0.76,-2.0,0.5,10.0,0.001953125,8.0,0.0078125,True,False,True,True
qwen3-1.7b,hi,edge_existence,0.75,all,True,False,True,100,0.77,0.76,0.86,-1.0,1.0,10.0,0.00634765625,9.0,0.01171875,True,False,True,False
qwen3-1.7b,hi,edge_existence,0.85,all,True,False,True,100,0.86,0.85,0.89,-1.0,1.0,4.0,0.21875,3.0,0.453125,True,False,False,False
qwen3-1.7b,hi,node_degree,0.65,components,False,False,False,99,0.0808,0.0707,0.1414,-1.01,1.0,7.0,0.11846923828125,6.06,0.14599609375,True,False,False,False
qwen3-1.7b,hi,node_degree,0.75,components,False,False,False,100,0.16,0.03,0.12,-13.0,0.004425048828125,9.0,0.0224609375,-4.0,0.3876953125,False,True,True,False
qwen3-1.7b,hi,node_degree,0.85,components,False,False,False,100,0.05,0.03,0.04,-2.0,0.7265625,1.0,1.0,-1.0,1.0,False,False,False,False
qwen3-1.7b,hi,node_degree,0.65,clustering,False,True,False,99,0.0808,0.0707,0.0707,-1.01,1.0,0.0,1.0,-1.01,1.0,False,False,False,False
qwen3-1.7b,hi,node_degree,0.75,clustering,False,True,False,100,0.16,0.03,0.11,-13.0,0.004425048828125,8.0,0.057373046875,-5.0,0.38331031799316406,False,True,False,False
qwen3-1.7b,hi,node_degree,0.85,clustering,False,True,False,100,0.05,0.03,0.01,-2.0,0.7265625,-2.0,0.625,-4.0,0.21875,False,False,False,False
qwen3-1.7b,hi,node_degree,0.65,rwse,False,False,False,99,0.0808,0.0707,0.0707,-1.01,1.0,0.0,1.0,-1.01,1.0,False,False,False,False
qwen3-1.7b,hi,node_degree,0.75,rwse,False,False,False,100,0.16,0.03,0.05,-13.0,0.004425048828125,2.0,0.7265625,-11.0,0.012725830078125,False,True,False,True
qwen3-1.7b,hi,node_degree,0.85,rwse,False,False,False,100,0.05,0.03,0.01,-2.0,0.7265625,-2.0,0.625,-4.0,0.21875,False,False,False,False
qwen3-1.7b,hi,node_degree,0.65,degree,True,False,False,99,0.0808,0.0707,0.0808,-1.01,1.0,1.0,1.0,0.0,1.0,False,False,False,False
qwen3-1.7b,hi,node_degree,0.75,degree,True,False,False,100,0.16,0.03,0.15,-13.0,0.004425048828125,12.0,0.004180908203125,-1.0,1.0,False,True,True,False
qwen3-1.7b,hi,node_degree,0.85,degree,True,False,False,100,0.05,0.03,0.07,-2.0,0.7265625,4.0,0.125,2.0,0.7744140625,True,False,False,False
qwen3-1.7b,hi,node_degree,0.65,all,True,False,False,99,0.0808,0.0707,0.1515,-1.01,1.0,8.0,0.09625244140625,7.07,0.143463134765625,True,False,False,False
qwen3-1.7b,hi,node_degree,0.75,all,True,False,False,100,0.16,0.03,0.17,-13.0,0.004425048828125,14.0,0.001312255859375,1.0,1.0,True,True,True,False
qwen3-1.7b,hi,node_degree,0.85,all,True,False,False,100,0.05,0.03,0.05,-2.0,0.7265625,2.0,0.6875,0.0,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.1,components,False,False,False,95,0.9579,0.9588,0.9789,1.03,1.0,0.0,1.0,2.11,0.625,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.2,components,False,False,False,99,0.9596,0.9798,0.9495,2.02,0.625,-3.06,0.25,-1.01,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.35,components,False,False,True,98,0.6939,0.7245,0.7143,3.06,0.629058837890625,-1.0,1.0,2.04,0.79052734375,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.5,components,False,False,True,100,0.59,0.61,0.67,2.0,0.8388197422027588,6.0,0.1795654296875,8.0,0.11531829833984375,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.1,clustering,False,True,False,96,0.9479,0.9588,0.9583,1.03,1.0,0.0,1.0,1.04,1.0,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.2,clustering,False,True,False,100,0.96,0.9798,0.96,2.02,0.625,-2.02,0.5,0.0,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.35,clustering,False,True,True,98,0.6939,0.7245,0.6633,3.06,0.629058837890625,-6.0,0.237884521484375,-3.06,0.6900379657745361,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.5,clustering,False,True,True,100,0.59,0.61,0.67,2.0,0.8388197422027588,6.0,0.28627872467041016,8.0,0.1849333420395851,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.1,rwse,False,False,False,97,0.9485,0.9588,0.9897,1.03,1.0,2.02,0.625,4.12,0.125,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.2,rwse,False,False,False,100,0.96,0.9798,0.88,2.02,0.625,-10.1,0.001953125,-8.0,0.03857421875,False,False,True,False
qwen3-1.7b-think,lo,connected_nodes,0.35,rwse,False,False,True,98,0.6939,0.7245,0.7245,3.06,0.629058837890625,0.0,1.0,3.06,0.6776394844055176,True,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.5,rwse,False,False,True,98,0.5918,0.61,0.5918,2.0,0.8388197422027588,-2.04,0.8450189828872681,0.0,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.1,degree,True,False,False,96,0.9479,0.9588,0.9479,1.03,1.0,-2.04,0.7265625,0.0,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.2,degree,True,False,False,97,0.9588,0.9798,0.9485,2.02,0.625,-3.12,0.375,-1.03,1.0,False,False,False,False
qwen3-1.7b-think,lo,connected_nodes,0.35,degree,True,False,True,98,0.6939,0.7245,0.8265,3.06,0.629058837890625,9.0,0.049041748046875,13.27,0.007197380065917969,True,False,False,True
