arm,task,condition,p,n,success,exact,cap,parsed,tokens,f1
qwen3-1.7b-think,connected_nodes,components,0.35,100,0.71,0.71,0.0,1.0,1462.5,0.9812449978085798
qwen3-1.7b-think,connected_nodes,components,0.5,100,0.67,0.67,0.0,1.0,1757.5,0.9724442584575415
qwen3-1.7b-think,connected_nodes,degree,0.1,100,0.92,0.92,0.02,1.0,986.0,0.9692581862581862
qwen3-1.7b-think,connected_nodes,degree,0.2,100,0.92,0.92,0.03,1.0,1212.0,0.9622804693549074
qwen3-1.7b-think,connected_nodes,degree,0.35,100,0.81,0.81,0.0,1.0,1521.0,0.9810777431240706
qwen3-1.7b-think,connected_nodes,degree,0.5,100,0.75,0.75,0.01,1.0,2021.5,0.9545493015746139
qwen3-1.7b-think,connected_nodes,filler,0.1,100,0.95,0.95,0.01,1.0,1066.0,0.9713333333333334
qwen3-1.7b-think,connected_nodes,filler,0.2,100,0.97,0.97,0.01,1.0,1021.0,0.9965736842105264
qwen3-1.7b-think,connected_nodes,filler,0.35,100,0.72,0.72,0.0,1.0,1257.5,0.983822769388025
qwen3-1.7b-think,connected_nodes,filler,0.5,100,0.61,0.61,0.0,1.0,1647.0,0.9634959225353193
qwen3-1.7b-think,connected_nodes,none,0.1,100,0.92,0.92,0.03,1.0,1152.5,0.958995670995671
qwen3-1.7b-think,connected_nodes,none,0.2,100,0.96,0.96,0.0,1.0,1236.5,0.9971076711386309
qwen3-1.7b-think,connected_nodes,none,0.35,100,0.68,0.68,0.02,1.0,1596.0,0.9744865301227305
qwen3-1.7b-think,connected_nodes,none,0.5,100,0.59,0.59,0.0,1.0,1771.0,0.977041758904126
qwen3-1.7b-think,connected_nodes,rwse,0.1,100,0.98,0.98,0.0,1.0,1416.0,0.9833333333333333
qwen3-1.7b-think,connected_nodes,rwse,0.2,100,0.88,0.88,0.0,1.0,1515.0,0.9634388677198276
qwen3-1.7b-think,connected_nodes,rwse,0.35,100,0.72,0.72,0.0,1.0,1934.5,0.9714908212539622
qwen3-1.7b-think,connected_nodes,rwse,0.5,100,0.58,0.58,0.02,1.0,2048.5,0.927188599688571
qwen3-1.7b-think,cycle_check,all,0.1,100,0.95,0.98,0.05,1.0,2910.5,
qwen3-1.7b-think,cycle_check,all,0.2,100,0.96,0.99,0.04,1.0,2587.0,
qwen3-1.7b-think,cycle_check,all,0.35,100,0.98,0.98,0.02,1.0,2483.0,
qwen3-1.7b-think,cycle_check,all,0.5,100,0.96,0.98,0.04,1.0,2559.5,
qwen3-1.7b-think,cycle_check,clustering,0.1,100,0.99,0.99,0.01,1.0,2539.5,
qwen3-1.7b-think,cycle_check,clustering,0.2,100,1.0,1.0,0.0,1.0,2632.5,
qwen3-1.7b-think,cycle_check,clustering,0.35,100,0.93,0.98,0.07,0.99,2704.5,
qwen3-1.7b-think,cycle_check,clustering,0.5,100,0.94,0.98,0.06,1.0,2016.0,
qwen3-1.7b-think,cycle_check,components,0.1,100,0.86,0.97,0.14,0.99,3584.5,
qwen3-1.7b-think,cycle_check,components,0.2,100,0.96,1.0,0.04,1.0,2128.0,
qwen3-1.7b-think,cycle_check,components,0.35,100,0.87,0.96,0.13,1.0,2089.0,
qwen3-1.7b-think,cycle_check,components,0.5,100,0.89,0.97,0.11,1.0,2325.0,
qwen3-1.7b-think,cycle_check,degree,0.1,100,0.88,0.95,0.12,1.0,4581.0,
qwen3-1.7b-think,cycle_check,degree,0.2,100,0.72,0.81,0.27,1.0,4852.5,
qwen3-1.7b-think,cycle_check,degree,0.35,100,0.65,0.79,0.34,1.0,6249.5,
qwen3-1.7b-think,cycle_check,degree,0.5,100,0.76,0.88,0.24,0.99,4894.0,
qwen3-1.7b-think,cycle_check,filler,0.1,100,1.0,1.0,0.0,1.0,1699.0,
