arm,task,control,condition,n,baseline,treatment,delta,lo,hi,fixed,broken,pvalue,qvalue
qwen3-1.7b-think,cycle_check,filler,all,400,100.0,96.25,-3.75,-5.75,-2.0,0,15,6.103515625e-05,0.0001220703125
qwen3-1.7b-think,edge_count,none,filler,400,15.75,14.249999999999998,-1.5,-5.75,2.75,33,39,0.555997717760971,0.7930603773134586
qwen3-1.7b-think,edge_count,none,components,400,15.75,15.0,-0.75,-5.0,3.75,37,40,0.8198929037490488,0.8198929037490488
qwen3-1.7b-think,edge_count,none,clustering,400,15.75,14.499999999999998,-1.25,-5.5,3.0000000000000004,39,44,0.6608836477612154,0.7930603773134586
qwen3-1.7b-think,edge_count,none,rwse,400,15.75,12.5,-3.25,-7.006249999999999,0.5,26,39,0.1360323948778921,0.4080971846336763
qwen3-1.7b-think,edge_count,none,degree,400,15.75,12.5,-3.25,-7.750000000000002,1.2500000000000004,45,58,0.2369018777802925,0.473803755560585
qwen3-1.7b-think,edge_count,none,all,400,15.75,20.75,5.0,0.24999999999999953,9.75,65,45,0.06956519633623025,0.4080971846336763
qwen3-1.7b-think,edge_count,filler,none,400,14.249999999999998,15.75,1.5,-2.5,5.500000000000001,39,33,0.555997717760971,0.8339965766414564
qwen3-1.7b-think,edge_count,filler,components,400,14.249999999999998,15.0,0.75,-3.25,4.75,32,29,0.7981526273057179,0.9577831527668614
qwen3-1.7b-think,edge_count,filler,clustering,400,14.249999999999998,14.499999999999998,0.25,-4.0,4.25,38,37,1.0,1.0
qwen3-1.7b-think,edge_count,filler,rwse,400,14.249999999999998,12.5,-1.7500000000000002,-5.750000000000001,2.0,30,37,0.46381761789686937,0.8339965766414564
qwen3-1.7b-think,edge_count,filler,degree,400,14.249999999999998,12.5,-1.7500000000000002,-6.000000000000001,2.5,41,48,0.5250147872924267,0.8339965766414564
qwen3-1.7b-think,edge_count,filler,all,400,14.249999999999998,20.75,6.5,1.250000000000001,11.75,76,50,0.025543364029782935,0.1532601841786976
qwen3-1.7b-think,edge_existence,none,filler,400,99.0,98.5,-0.5,-2.0,1.0,4,6,0.75390625,0.75390625
qwen3-1.7b-think,edge_existence,none,components,400,99.0,98.25,-0.75,-2.5,0.7500000000000001,4,7,0.548828125,0.65859375
qwen3-1.7b-think,edge_existence,none,clustering,400,99.0,98.0,-1.0,-2.5,0.49999999999999994,3,7,0.34375,0.515625
qwen3-1.7b-think,edge_existence,none,rwse,400,99.0,97.75,-1.25,-3.0000000000000004,0.5,4,9,0.266845703125,0.515625
qwen3-1.7b-think,edge_existence,none,degree,400,99.0,96.5,-2.5,-4.5,-0.5000000000000001,3,13,0.021270751953125,0.12762451171875
qwen3-1.7b-think,edge_existence,none,all,400,99.0,97.25,-1.7500000000000002,-3.5000000000000004,-0.24999999999999992,3,10,0.09228515625,0.27685546875
qwen3-1.7b-think,edge_existence,filler,none,400,98.5,99.0,0.5,-1.0,2.0,6,4,0.75390625,0.929296875
qwen3-1.7b-think,edge_existence,filler,components,400,98.5,98.25,-0.25,-2.0,1.25,5,6,1.0,1.0
qwen3-1.7b-think,edge_existence,filler,clustering,400,98.5,98.0,-0.5,-2.25,1.25,5,7,0.7744140625,0.929296875
qwen3-1.7b-think,edge_existence,filler,rwse,400,98.5,97.75,-0.75,-2.5,1.0,5,8,0.5810546875,0.929296875
qwen3-1.7b-think,edge_existence,filler,degree,400,98.5,96.5,-2.0,-4.25,0.0,5,13,0.09625244140625,0.5775146484375
qwen3-1.7b-think,edge_existence,filler,all,400,98.5,97.25,-1.25,-3.25,0.5000000000000001,5,10,0.30175781249999994,0.9052734374999998
qwen3-1.7b-think,node_count,none,filler,400,91.0,100.0,9.0,6.25,12.0,36,0,2.9103830456733704e-11,4.3655745685100555e-11
qwen3-1.7b-think,node_count,none,components,400,91.0,92.5,1.5,-2.25,5.250000000000001,33,27,0.5189580031896519,0.5189580031896519
qwen3-1.7b-think,node_count,none,clustering,400,91.0,100.0,9.0,6.25,12.0,36,0,2.9103830456733704e-11,4.3655745685100555e-11
qwen3-1.7b-think,node_count,none,rwse,400,91.0,100.0,9.0,6.25,12.0,36,0,2.9103830456733704e-11,4.3655745685100555e-11
qwen3-1.7b-think,node_count,none,degree,400,91.0,96.5,5.5,2.5,8.75,33,11,0.0012600338162656044,0.0015120405795187252
qwen3-1.7b-think,node_count,none,all,400,91.0,100.0,9.0,6.25,12.0,36,0,2.9103830456733704e-11,4.3655745685100555e-11
qwen3-1.7b-think,node_count,filler,none,400,100.0,91.0,-9.0,-12.0,-6.5,0,36,2.9103830456733704e-11,1.7462298274040222e-10
qwen3-1.7b-think,node_count,filler,components,400,100.0,92.5,-7.5,-10.25,-5.0,0,30,1.862645149230957e-09,5.587935447692871e-09
qwen3-1.7b-think,node_count,filler,clustering,400,100.0,100.0,0.0,0.0,0.0,0,0,1.0,1.0
