p,index,graph_id,n_edges,mean_degree,components,triangles,mean_clustering,target,target_degree,target_clustering,edge_u,edge_v,rwse_unique,rwse_modal_share,rwse_unique_4dp,rwse_unique_6dp,degree_unique,clustering_unique
0.85,21,p0.85/21,657,32.85,1,5905,0.8428318636090587,4,30,0.8298850574712644,4,33,2,0.575,36,40,10,6
0.85,22,p0.85/22,670,33.5,1,6245,0.8578393849166318,2,32,0.8689516129032258,2,35,2,0.525,28,40,8,4
0.85,23,p0.85/23,645,32.25,1,5587,0.827828449266174,10,33,0.8314393939393939,10,24,2,0.55,37,40,12,5
0.85,24,p0.85/24,668,33.4,1,6169,0.8531217077289511,20,30,0.8528735632183908,20,3,2,0.525,27,40,8,3
0.85,25,p0.85/25,667,33.35,1,6163,0.8542304516138509,8,33,0.8712121212121212,8,1,2,0.575,31,40,9,4
0.85,26,p0.85/26,660,33.0,1,5967,0.8447163099087828,5,31,0.8494623655913979,5,34,2,0.625,35,40,9,4
0.85,27,p0.85/27,658,32.9,1,5902,0.8410834761714362,12,34,0.8413547237076648,12,29,2,0.6,31,40,9,4
0.85,28,p0.85/28,661,33.05,1,5997,0.8462979789308267,10,32,0.8346774193548387,10,21,2,0.6,30,40,9,5
0.85,29,p0.85/29,665,33.25,1,6104,0.8513756872522944,37,32,0.8588709677419355,37,20,2,0.5,32,40,8,5
0.85,30,p0.85/30,670,33.5,1,6255,0.8584701644211631,0,33,0.8522727272727273,0,37,2,0.525,31,40,9,3
0.85,31,p0.85/31,656,32.8,1,5875,0.840977761684286,23,37,0.8378378378378378,23,25,2,0.575,35,40,10,5
0.85,32,p0.85/32,654,32.7,1,5808,0.837564615490763,25,37,0.8348348348348348,25,31,2,0.625,28,40,10,4
0.85,33,p0.85/33,670,33.5,1,6253,0.8584088079774667,20,35,0.8605042016806723,20,7,2,0.55,30,40,8,5
0.85,34,p0.85/34,656,32.8,1,5886,0.8427005180617166,9,36,0.8396825396825397,9,0,2,0.575,34,40,10,6
0.85,35,p0.85/35,675,33.75,1,6398,0.865011079295148,20,33,0.865530303030303,20,12,2,0.675,31,40,10,5
0.85,36,p0.85/36,671,33.55,1,6255,0.8572856923159751,38,34,0.8538324420677362,38,3,2,0.5,26,40,8,4
0.85,37,p0.85/37,667,33.35,1,6184,0.8559784712493197,26,30,0.8505747126436781,26,8,2,0.5,33,40,11,5
0.85,38,p0.85/38,668,33.4,1,6186,0.8549752281785219,15,34,0.8502673796791443,15,12,2,0.55,28,40,9,4
0.85,39,p0.85/39,672,33.6,1,6309,0.8611769843598445,6,36,0.8571428571428571,6,2,2,0.6,33,40,10,6
0.85,40,p0.85/40,658,32.9,1,5929,0.8441661344915058,33,37,0.8408408408408409,33,24,2,0.625,33,40,9,4
0.85,41,p0.85/41,673,33.65,1,6336,0.8621325971753919,35,32,0.8548387096774194,35,34,2,0.575,32,40,9,4
0.85,42,p0.85/42,666,33.3,1,6136,0.8525020833213557,2,34,0.8520499108734403,2,29,2,0.55,32,40,9,4
0.85,43,p0.85/43,662,33.1,1,6038,0.8491035281145262,34,36,0.8492063492063492,34,9,2,0.575,35,40,9,5
0.85,44,p0.85/44,652,32.6,1,5753,0.8344903983231905,16,34,0.8449197860962567,16,3,2,0.675,31,40,8,5
0.85,45,p0.85/45,650,32.5,1,5742,0.8363695248233205,36,34,0.8360071301247772,36,27,2,0.525,36,40,12,5
0.85,46,p0.85/46,653,32.65,1,5807,0.8391747101354718,15,36,0.8269841269841269,15,4,2,0.6,34,40,10,5
0.85,47,p0.85/47,679,33.95,1,6502,0.8693337235948103,4,33,0.8636363636363636,4,31,2,0.5,25,40,8,4
0.85,48,p0.85/48,662,33.1,1,6043,0.8491473831361288,0,31,0.853763440860215,0,25,2,0.5,31,40,9,4
0.85,49,p0.85/49,678,33.9,1,6461,0.8667374346009307,23,37,0.8708708708708709,23,13,2,0.625,29,40,7,4
0.85,50,p0.85/50,651,32.55,1,5724,0.833071915636346,38,34,0.8360071301247772,38,19,2,0.6,33,40,9,5
0.85,51,p0.85/51,665,33.25,1,6132,0.8539998014742011,11,35,0.8487394957983193,11,35,2,0.55,34,40,10,5
0.85,52,p0.85/52,657,32.85,1,5899,0.842766132800459,35,34,0.8502673796791443,35,24,2,0.675,31,40,11,5
0.85,53,p0.85/53,664,33.2,1,6126,0.8551722784830968,32,34,0.8627450980392157,32,14,2,0.575,33,40,11,6
0.85,54,p0.85/54,675,33.75,1,6377,0.8635006710566758,7,35,0.8621848739495799,7,21,2,0.675,27,40,9,4
0.85,55,p0.85/55,668,33.4,1,6170,0.8533918265034128,39,33,0.8541666666666666,39,30,2,0.5,29,40,7,4
0.85,56,p0.85/56,650,32.5,1,5728,0.8351301353616141,23,34,0.8324420677361853,23,22,2,0.625,33,40,9,6
0.85,57,p0.85/57,657,32.85,1,5880,0.840251720700483,18,31,0.853763440860215,18,33,2,0.6,33,40,9,4
0.85,58,p0.85/58,671,33.55,1,6286,0.8597593463585088,29,32,0.8689516129032258,29,14,2,0.6,35,40,10,3
0.85,59,p0.85/59,663,33.15,1,6089,0.8528152465004147,21,30,0.8482758620689655,21,15,2,0.6,34,40,11,5
0.85,60,p0.85/60,669,33.45,1,6248,0.8593117528316402,14,34,0.8520499108734403,14,38,2,0.575,33,40,10,4
0.85,61,p0.85/61,655,32.75,1,5850,0.8401075281233586,13,35,0.8369747899159664,13,30,2,0.525,34,40,9,5
0.85,62,p0.85/62,658,32.9,1,5920,0.842797615859392,36,32,0.8245967741935484,36,38,2,0.6,34,40,9,5
0.85,63,p0.85/63,663,33.15,1,6061,0.8497926458423212,14,32,0.842741935483871,14,7,2,0.525,32,40,9,6
0.85,64,p0.85/64,634,31.7,1,5286,0.8112381575452267,30,27,0.8233618233618234,30,14,2,0.675,38,40,9,5
0.85,65,p0.85/65,674,33.7,1,6367,0.8638353090766764,21,34,0.8627450980392157,21,9,2,0.65,32,40,10,4
0.85,66,p0.85/66,660,33.0,1,5973,0.8450811597042908,11,32,0.844758064516129,11,34,2,0.6,33,40,9,4
0.85,67,p0.85/67,661,33.05,1,6001,0.8462988277502117,35,34,0.8520499108734403,35,3,2,0.575,32,40,9,4
0.85,68,p0.85/68,652,32.6,1,5790,0.8380258222899997,5,28,0.8306878306878307,5,13,2,0.55,34,40,11,5
