model_size,task,density,condition,delta_nonthink,delta_think,interaction,acc_none_nonthink,cap_nonthink,cap_think
4b,node_count,0.2,clustering,-0.010000000000000009,0.0,0.010000000000000009,,0.0,0.0
4b,node_count,0.2,rwse,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.2,components,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.2,all,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,degree,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,clustering,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,rwse,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,components,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.35,all,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.5,filler,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.5,degree,0.0,0.0,0.0,,0.0,0.01
4b,node_count,0.5,clustering,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.5,rwse,0.0,0.0,0.0,,0.0,0.0
4b,node_count,0.5,components,0.0,-0.010000000000000009,-0.010000000000000009,,0.0,0.0
4b,node_count,0.5,all,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.1,filler,0.0,0.0,0.0,,0.04,0.01
4b,cycle_check,0.1,degree,-0.020000000000000018,-0.050000000000000044,-0.030000000000000027,,0.03,0.04
4b,cycle_check,0.1,clustering,0.0,0.0,0.0,,0.02,0.02
4b,cycle_check,0.1,rwse,0.020000000000000018,0.0,-0.020000000000000018,,0.04,0.02
4b,cycle_check,0.1,components,-0.040000000000000036,-0.010000000000000009,0.030000000000000027,,0.03,0.01
4b,cycle_check,0.1,all,0.020000000000000018,0.0,-0.020000000000000018,,0.02,0.0
4b,cycle_check,0.2,filler,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.2,degree,-0.010000000000000009,-0.030000000000000027,-0.020000000000000018,,0.0,0.03
4b,cycle_check,0.2,clustering,0.0,0.0,0.0,,0.0,0.01
4b,cycle_check,0.2,rwse,0.0,0.0,0.0,,0.01,0.0
4b,cycle_check,0.2,components,-0.010000000000000009,0.0,0.010000000000000009,,0.03,0.0
4b,cycle_check,0.2,all,0.0,-0.010000000000000009,-0.010000000000000009,,0.0,0.01
4b,cycle_check,0.35,filler,0.0,0.0,0.0,,0.01,0.0
4b,cycle_check,0.35,degree,-0.050000000000000044,-0.040000000000000036,0.010000000000000009,,0.02,0.07
4b,cycle_check,0.35,clustering,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.35,rwse,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.35,components,0.0,-0.020000000000000018,-0.020000000000000018,,0.0,0.07
4b,cycle_check,0.35,all,0.0,-0.010000000000000009,-0.010000000000000009,,0.0,0.02
4b,cycle_check,0.5,filler,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.5,degree,-0.030000000000000027,-0.040000000000000036,-0.010000000000000009,,0.01,0.08
4b,cycle_check,0.5,clustering,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.5,rwse,0.0,0.0,0.0,,0.0,0.0
4b,cycle_check,0.5,components,-0.020000000000000018,-0.020000000000000018,0.0,,0.0,0.08
4b,cycle_check,0.5,all,-0.030000000000000027,0.0,0.030000000000000027,,0.0,0.02
4b,edge_existence,0.1,filler,0.0,0.0,0.0,,0.0,0.01
4b,edge_existence,0.1,degree,0.030000000000000027,0.0,-0.030000000000000027,,0.0,0.01
4b,edge_existence,0.1,clustering,0.010000000000000009,0.0,-0.010000000000000009,,0.0,0.03
4b,edge_existence,0.1,rwse,0.0,0.0,0.0,,0.0,0.04
4b,edge_existence,0.1,components,0.030000000000000027,0.0,-0.030000000000000027,,0.0,0.01
4b,edge_existence,0.1,all,-0.010000000000000009,0.0,0.010000000000000009,,0.01,0.04
4b,edge_existence,0.2,filler,0.0,0.0,0.0,,0.0,0.0
4b,edge_existence,0.2,degree,0.07000000000000006,0.0,-0.07000000000000006,,0.01,0.0
4b,edge_existence,0.2,clustering,0.14,0.0,-0.14,,0.0,0.01
4b,edge_existence,0.2,rwse,0.050000000000000044,-0.010000000000000009,-0.06000000000000005,,0.0,0.02
4b,edge_existence,0.2,components,0.09999999999999998,0.0,-0.09999999999999998,,0.0,0.01
