arm,n,k,edges,n_rows,acc,median_tokens,hit_cap_rate
qwen3-14b,80,8,320,50,0.96,106.0,0.0
qwen3-14b,80,12,480,50,0.96,135.0,0.0
qwen3-14b,80,16,640,50,0.74,152.5,0.0
qwen3-14b,120,4,240,50,1.0,79.0,0.0
qwen3-14b,120,8,480,50,0.94,110.0,0.0
qwen3-14b,120,12,720,50,0.92,131.5,0.0
qwen3-14b,120,16,960,50,0.84,148.5,0.0
qwen3-14b,160,8,640,50,0.98,120.0,0.0
qwen3-14b,160,12,960,50,0.92,139.0,0.0
qwen3-14b,200,12,1200,50,0.86,138.0,0.0
qwen3-14b,300,8,1200,50,0.96,122.0,0.0
qwen3-8b,40,8,160,50,1.0,107.0,0.0
qwen3-8b,40,12,240,50,0.96,201.0,0.0
qwen3-8b,40,16,320,50,0.98,246.0,0.0
qwen3-8b,60,8,240,50,1.0,106.5,0.0
qwen3-8b,60,12,360,50,0.96,139.5,0.0
qwen3-8b,60,16,480,50,0.88,249.0,0.0
qwen3-8b,80,4,160,50,0.96,97.5,0.0
qwen3-8b,80,8,320,50,0.94,111.0,0.0
qwen3-8b,80,12,480,50,1.0,155.5,0.0
qwen3-8b,80,16,640,50,0.94,171.0,0.0
qwen3-8b,120,4,240,50,0.94,92.0,0.0
qwen3-8b,120,8,480,50,0.94,111.0,0.0
qwen3-8b,120,12,720,50,0.88,134.0,0.0
qwen3-8b,120,16,960,50,0.88,164.5,0.0
qwen3-8b,160,8,640,50,0.92,122.5,0.0
qwen3-8b,160,12,960,50,0.84,141.5,0.0
qwen3-8b,200,12,1200,50,0.84,147.0,0.0
qwen3-8b,300,8,1200,50,0.86,131.0,0.0
qwen3-8b-think,40,8,160,50,0.9,2024.0,0.1
qwen3-8b-think,40,12,240,50,0.84,2117.0,0.1
qwen3-8b-think,40,16,320,50,0.96,2085.0,0.02
qwen3-8b-think,60,8,240,50,0.94,1574.0,0.02
qwen3-8b-think,60,12,360,50,0.8,1618.0,0.06
