arm,task,density,condition,n,base_acc_pts,band,delta_vs_none_pts,delta_vs_filler_pts,sig_vs_none,sig_vs_filler,content_effect
qwen3-1.7b-think,edge_existence,0.85,rwse,100,100.0,>95,-1.0000000000000009,2.0000000000000018,0,0,0
qwen3-1.7b-think,edge_existence,0.85,components,100,100.0,>95,0.0,3.0000000000000027,0,0,0
qwen3-1.7b-think,edge_existence,0.85,all,100,100.0,>95,-1.0000000000000009,2.0000000000000018,0,0,0
qwen3-1.7b-think,node_degree,0.1,degree,100,90.0,80-95,7.9999999999999964,1.0000000000000009,0,0,0
qwen3-1.7b-think,node_degree,0.1,clustering,100,90.0,80-95,3.9999999999999925,-3.0000000000000027,0,0,0
qwen3-1.7b-think,node_degree,0.1,rwse,100,90.0,80-95,5.999999999999995,-1.0000000000000009,0,0,0
qwen3-1.7b-think,node_degree,0.1,components,100,90.0,80-95,2.0000000000000018,-4.999999999999993,0,0,0
qwen3-1.7b-think,node_degree,0.1,all,100,90.0,80-95,7.9999999999999964,1.0000000000000009,1,0,0
qwen3-1.7b-think,node_degree,0.2,degree,100,95.0,80-95,-1.0000000000000009,8.999999999999996,0,0,0
qwen3-1.7b-think,node_degree,0.2,clustering,100,95.0,80-95,2.0000000000000018,12.0,0,1,0
qwen3-1.7b-think,node_degree,0.2,rwse,100,95.0,80-95,-3.9999999999999925,6.000000000000005,0,0,0
qwen3-1.7b-think,node_degree,0.2,components,100,95.0,80-95,-5.999999999999995,4.0000000000000036,0,0,0
qwen3-1.7b-think,node_degree,0.2,all,100,95.0,80-95,2.0000000000000018,12.0,0,1,0
qwen3-1.7b-think,node_degree,0.35,degree,100,60.0,50-80,23.0,26.99999999999999,1,1,1
qwen3-1.7b-think,node_degree,0.35,clustering,100,60.0,50-80,1.0000000000000009,4.999999999999993,0,0,0
qwen3-1.7b-think,node_degree,0.35,rwse,100,60.0,50-80,5.000000000000004,8.999999999999996,0,0,0
qwen3-1.7b-think,node_degree,0.35,components,100,60.0,50-80,2.0000000000000018,5.999999999999995,0,0,0
qwen3-1.7b-think,node_degree,0.35,all,100,60.0,50-80,21.999999999999996,25.99999999999999,1,1,1
qwen3-1.7b-think,node_degree,0.5,degree,100,60.0,50-80,19.000000000000007,24.0,1,1,1
qwen3-1.7b-think,node_degree,0.5,clustering,100,60.0,50-80,-1.0000000000000009,3.9999999999999925,0,0,0
qwen3-1.7b-think,node_degree,0.5,rwse,100,60.0,50-80,4.0000000000000036,8.999999999999996,0,0,0
