arm,task,density,condition,n,baseline,delta,acc,trunc_a,trunc_b,flagged,bar,bar_none,carries,p,q
qwen3-1.7b-think,connected_nodes,0.35,components,100,0.68,2.9999999999999916,0.71,0.02,0.0,False,0.0,0.0,False,0.60723876953125,0.9821428571428571
qwen3-1.7b-think,connected_nodes,0.35,clustering,100,0.68,-2.0000000000000018,0.66,0.02,0.0,False,0.0,0.0,False,0.8450189828872681,1.0
qwen3-1.7b-think,connected_nodes,0.35,rwse,100,0.68,3.9999999999999925,0.72,0.02,0.0,False,0.0014285714285714286,0.0,False,0.5412561893463135,0.9821428571428571
qwen3-1.7b-think,connected_nodes,0.35,degree,100,0.68,13.0,0.81,0.02,0.0,False,0.0014285714285714286,0.0,False,0.007197380065917969,0.052083333333333336
qwen3-1.7b-think,connected_nodes,0.35,all,100,0.68,9.999999999999998,0.78,0.02,0.0,False,0.008095238095238096,0.0,False,0.0308837890625,0.125
qwen3-1.7b-think,connected_nodes,0.5,components,100,0.59,8.000000000000007,0.67,0.0,0.0,False,0.0,0.0,False,0.11531829833984375,0.32948085239955355
qwen3-1.7b-think,connected_nodes,0.5,clustering,100,0.59,8.000000000000007,0.67,0.0,0.0,False,0.0,0.0,False,0.1849333420395851,0.41096298231018913
qwen3-1.7b-think,connected_nodes,0.5,rwse,100,0.59,-1.0000000000000009,0.58,0.0,0.02,False,0.0014285714285714286,0.0,False,1.0,1.0
qwen3-1.7b-think,connected_nodes,0.5,degree,100,0.59,16.000000000000004,0.75,0.0,0.01,False,0.0014285714285714286,0.0,False,0.005222879350185394,0.052083333333333336
qwen3-1.7b-think,connected_nodes,0.5,all,100,0.59,9.000000000000007,0.68,0.0,0.01,False,0.008095238095238096,0.0,False,0.16275565745308995,0.4068891436327249
qwen3-1.7b-think,edge_count,0.1,components,100,0.48,-4.999999999999999,0.43,0.5,0.56,True,0.03047619047619048,0.03047619047619048,False,0.5681724128491652,0.9469540214152753
qwen3-1.7b-think,edge_count,0.1,clustering,100,0.48,-17.0,0.31,0.5,0.66,True,0.10428571428571429,0.03047619047619048,False,0.016094360031274846,0.04598388580364242
qwen3-1.7b-think,edge_count,0.1,rwse,100,0.48,-8.999999999999996,0.39,0.5,0.6,True,0.03047619047619048,0.03047619047619048,False,0.19959086691960692,0.4435352598213487
qwen3-1.7b-think,edge_count,0.1,degree,100,0.48,-37.0,0.11,0.5,0.8,True,1.0,0.03047619047619048,True,2.3683513772354559e-07,3.1789143880208335e-06
qwen3-1.7b-think,edge_count,0.1,all,100,0.48,-24.0,0.24,0.5,0.7,True,1.0,0.03047619047619048,True,0.00038813090293388086,0.0015525236117355234
qwen3-1.7b-think,edge_count,0.2,components,100,0.15,2.0000000000000018,0.17,0.77,0.73,True,0.03047619047619048,0.03047619047619048,False,0.8505540192127228,1.0
qwen3-1.7b-think,edge_count,0.2,clustering,100,0.15,10.0,0.25,0.77,0.68,True,0.10428571428571429,0.03047619047619048,False,0.13249816396273673,0.3312454099068418
qwen3-1.7b-think,edge_count,0.2,rwse,100,0.15,-3.9999999999999996,0.11,0.77,0.87,True,0.03047619047619048,0.03047619047619048,False,0.557197093963623,0.9469540214152753
qwen3-1.7b-think,edge_count,0.2,degree,100,0.15,1.0000000000000009,0.16,0.77,0.77,True,1.0,0.03047619047619048,True,1.0,1.0
qwen3-1.7b-think,edge_count,0.2,all,100,0.15,0.0,0.15,0.77,0.78,True,1.0,0.03047619047619048,True,1.0,1.0
qwen3-1.7b-think,edge_count,0.35,components,100,0.0,0.0,0.0,1.0,1.0,True,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b-think,edge_count,0.35,clustering,100,0.0,2.0,0.02,1.0,0.96,True,0.10428571428571429,0.03047619047619048,False,0.5,0.9469540214152753
qwen3-1.7b-think,edge_count,0.35,rwse,100,0.0,0.0,0.0,1.0,1.0,True,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b-think,edge_count,0.35,degree,100,0.0,13.0,0.13,1.0,0.83,True,1.0,0.03047619047619048,True,0.000244140625,0.001220703125
qwen3-1.7b-think,edge_count,0.35,all,100,0.0,22.0,0.22,1.0,0.67,True,1.0,0.03047619047619048,True,4.76837158203125e-07,3.1789143880208335e-06
qwen3-1.7b-think,edge_count,0.5,components,100,0.0,0.0,0.0,1.0,1.0,True,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b-think,edge_count,0.5,clustering,100,0.0,0.0,0.0,1.0,1.0,True,0.10428571428571429,0.03047619047619048,False,1.0,1.0
qwen3-1.7b-think,edge_count,0.5,rwse,100,0.0,0.0,0.0,1.0,1.0,True,0.03047619047619048,0.03047619047619048,False,1.0,1.0
qwen3-1.7b-think,edge_count,0.5,degree,100,0.0,10.0,0.1,1.0,0.84,True,1.0,0.03047619047619048,True,0.001953125,0.006510416666666667
qwen3-1.7b-think,edge_count,0.5,all,100,0.0,22.0,0.22,1.0,0.63,True,1.0,0.03047619047619048,True,4.76837158203125e-07,3.1789143880208335e-06
qwen3-1.7b-think,edge_existence,0.1,components,100,0.99,-1.0000000000000009,0.98,0.01,0.01,False,0.7352380952380952,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.1,clustering,100,0.99,-2.0000000000000018,0.97,0.01,0.01,False,0.7266666666666667,0.7352380952380952,False,0.625,1.0
qwen3-1.7b-think,edge_existence,0.1,rwse,100,0.99,1.0000000000000009,1.0,0.01,0.0,False,0.5538095238095239,0.7352380952380952,False,1.0,1.0
qwen3-1.7b-think,edge_existence,0.1,degree,100,0.99,-3.0000000000000027,0.96,0.01,0.01,False,0.7457142857142857,0.7352380952380952,False,0.375,1.0
qwen3-1.7b-think,edge_existence,0.1,all,100,0.99,-3.0000000000000027,0.96,0.01,0.0,False,0.7409523809523809,0.7352380952380952,False,0.375,1.0
