arm,task,density,d_degree,d_clustering,d_rwse,sum_parts,d_all,gap,ratio,max_part,ratio_max,max_share
qwen3-1.7b-think,node_degree,0.35,0.22999999999999998,0.010000000000000009,0.050000000000000044,0.29000000000000004,0.21999999999999997,-0.07000000000000006,0.7586206896551723,0.22999999999999998,0.9565217391304347,0.7931034482758619
qwen3-1.7b-think,node_degree,0.5,0.19000000000000006,-0.010000000000000009,0.040000000000000036,0.22000000000000008,0.18000000000000005,-0.040000000000000036,0.8181818181818181,0.19000000000000006,0.9473684210526315,0.8636363636363635
qwen3-1.7b-think,node_degree,0.65,0.20999999999999996,-0.13,-0.09000000000000002,-0.010000000000000064,0.29999999999999993,0.31,,0.20999999999999996,1.4285714285714286,
qwen3-1.7b-think,node_degree,0.75,0.27999999999999997,-0.07,-0.06,0.14999999999999997,0.22000000000000003,0.07000000000000006,1.4666666666666672,0.27999999999999997,0.7857142857142859,1.866666666666667
qwen3-1.7b-think,node_degree,0.85,0.43,-0.07,0.020000000000000018,0.38,0.15999999999999998,-0.22000000000000003,0.4210526315789473,0.43,0.3720930232558139,1.131578947368421
qwen3-1.7b-think,connected_nodes,0.1,0.0,0.029999999999999916,0.05999999999999994,0.08999999999999986,0.07999999999999996,-0.009999999999999898,0.8888888888888898,0.05999999999999994,1.333333333333334,0.6666666666666671
qwen3-1.7b-think,connected_nodes,0.2,-0.039999999999999925,0.0,-0.07999999999999996,-0.11999999999999988,-0.020000000000000018,0.09999999999999987,0.16666666666666696,-0.07999999999999996,0.25000000000000033,0.666666666666667
qwen3-1.7b-think,connected_nodes,0.35,0.13,-0.020000000000000018,0.039999999999999925,0.1499999999999999,0.09999999999999998,-0.04999999999999993,0.666666666666667,0.13,0.769230769230769,0.8666666666666673
qwen3-1.7b-think,connected_nodes,0.5,0.16000000000000003,0.08000000000000007,-0.010000000000000009,0.2300000000000001,0.09000000000000008,-0.14,0.39130434782608714,0.16000000000000003,0.5625000000000004,0.6956521739130433
qwen3-1.7b-think,edge_count,0.1,-0.43000000000000005,-0.030000000000000027,-0.12,-0.5800000000000001,-0.27,0.31000000000000005,0.46551724137931033,-0.43000000000000005,0.627906976744186,0.7413793103448276
qwen3-1.7b-think,edge_count,0.2,-0.04999999999999999,-0.010000000000000009,-0.020000000000000018,-0.08000000000000002,-0.02999999999999997,0.050000000000000044,0.37499999999999956,-0.04999999999999999,0.5999999999999995,0.6249999999999998
qwen3-1.7b-think,edge_count,0.35,0.17,0.020000000000000004,-0.019999999999999997,0.17,0.35,0.17999999999999997,2.0588235294117645,0.17,2.0588235294117645,1.0
qwen3-1.7b-think,edge_count,0.5,0.17,0.0,0.0,0.17,0.31,0.13999999999999999,1.8235294117647058,0.17,1.8235294117647058,1.0
qwen3-4b,node_count,0.1,0.019999999999999907,0.04999999999999993,0.05999999999999994,0.12999999999999978,0.07999999999999996,-0.04999999999999982,0.6153846153846161,0.05999999999999994,1.333333333333334,0.46153846153846184
qwen3-4b,node_count,0.2,0.30000000000000004,0.30000000000000004,0.31000000000000005,0.9100000000000001,0.31000000000000005,-0.6000000000000001,0.34065934065934067,0.31000000000000005,1.0,0.34065934065934067
qwen3-4b,node_count,0.35,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b,node_count,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,
qwen3-4b,cycle_check,0.1,-0.030000000000000027,-0.010000000000000009,0.010000000000000009,-0.030000000000000027,0.010000000000000009,0.040000000000000036,-0.3333333333333333,-0.030000000000000027,-0.3333333333333333,1.0
qwen3-4b,cycle_check,0.2,-0.010000000000000009,0.0,0.0,-0.010000000000000009,0.0,0.010000000000000009,,-0.010000000000000009,,
qwen3-4b,cycle_check,0.35,-0.050000000000000044,0.0,0.0,-0.050000000000000044,0.0,0.050000000000000044,-0.0,-0.050000000000000044,-0.0,1.0
qwen3-4b,cycle_check,0.5,-0.030000000000000027,0.0,0.0,-0.030000000000000027,-0.030000000000000027,0.0,1.0,-0.030000000000000027,1.0,1.0
qwen3-4b,edge_existence,0.1,0.030000000000000027,0.010000000000000009,0.0,0.040000000000000036,-0.010000000000000009,-0.050000000000000044,-0.25,0.030000000000000027,-0.3333333333333333,0.75
qwen3-4b,edge_existence,0.2,-0.020000000000000018,0.04999999999999993,-0.040000000000000036,-0.01000000000000012,-0.09000000000000008,-0.07999999999999996,,0.04999999999999993,-1.800000000000004,
qwen3-4b,edge_existence,0.35,-0.039999999999999925,0.06000000000000005,-0.13,-0.10999999999999988,-0.13,-0.02000000000000013,1.1818181818181832,-0.13,1.0,1.1818181818181832
