arm,density,condition,yes,bacc,truncated,tokens
qwen3-4b-think,0.35,all,0.31,1.0,0.0,723.0
qwen3-4b-think,0.35,clustering,0.31,1.0,0.0,800.0
qwen3-4b-think,0.35,components,0.31,1.0,0.0,943.5
qwen3-4b-think,0.35,degree,0.31,1.0,0.0,855.0
qwen3-4b-think,0.35,filler,0.31,1.0,0.0,775.0
qwen3-4b-think,0.35,none,0.31,1.0,0.0,875.5
qwen3-4b-think,0.35,rwse,0.31,1.0,0.0,750.5
qwen3-4b-think,0.5,all,0.48,1.0,0.0,737.5
qwen3-4b-think,0.5,clustering,0.48,1.0,0.0,801.0
qwen3-4b-think,0.5,components,0.48484848484848486,0.9903846153846154,0.01,909.0
qwen3-4b-think,0.5,degree,0.48,1.0,0.0,803.0
qwen3-4b-think,0.5,filler,0.48,1.0,0.0,784.5
qwen3-4b-think,0.5,none,0.48,1.0,0.0,776.0
qwen3-4b-think,0.5,rwse,0.48,1.0,0.0,770.0
qwen3-4b-think,0.65,all,0.66,1.0,0.0,761.5
qwen3-4b-think,0.65,clustering,0.66,1.0,0.0,754.5
qwen3-4b-think,0.65,components,0.66,1.0,0.0,925.5
qwen3-4b-think,0.65,degree,0.66,1.0,0.0,676.0
qwen3-4b-think,0.65,filler,0.66,1.0,0.0,672.0
qwen3-4b-think,0.65,none,0.66,1.0,0.0,732.0
qwen3-4b-think,0.65,rwse,0.66,1.0,0.0,793.0
qwen3-4b-think,0.75,all,0.76,1.0,0.0,821.0
qwen3-4b-think,0.75,clustering,0.76,1.0,0.0,817.5
qwen3-4b-think,0.75,components,0.76,1.0,0.0,989.5
qwen3-4b-think,0.75,degree,0.76,1.0,0.0,729.0
qwen3-4b-think,0.75,filler,0.76,1.0,0.0,742.5
qwen3-4b-think,0.75,none,0.76,1.0,0.0,779.0
qwen3-4b-think,0.75,rwse,0.76,1.0,0.0,825.5
qwen3-4b-think,0.85,all,0.86,0.9666666666666667,0.0,788.0
qwen3-4b-think,0.85,clustering,0.85,1.0,0.0,762.0
qwen3-4b-think,0.85,components,0.85,1.0,0.0,1026.5
qwen3-4b-think,0.85,degree,0.85,1.0,0.0,803.5
qwen3-4b-think,0.85,filler,0.85,1.0,0.0,761.0
qwen3-4b-think,0.85,none,0.83,0.9882352941176471,0.0,895.5
qwen3-4b-think,0.85,rwse,0.84,0.9941176470588236,0.0,807.0
