arm,task,density,condition,n,n_uncapped,hit_cap_rate,median_tokens,p90_tokens,median_node_mentions,uses_degree_sum,narrates_neighbors,enumerates_nodes,acc,parsed_rate
qwen3-1.7b,edge_existence,0.65,rwse,100,100,0.0,304.0,350.50000000000006,10.0,0.0,0.0,0.01,0.7,1.0
qwen3-1.7b,edge_existence,0.65,components,100,100,0.0,157.0,284.3,5.0,0.0,0.0,0.01,0.66,1.0
qwen3-1.7b,edge_existence,0.65,all,100,100,0.0,372.0,421.40000000000003,12.0,0.0,0.0,0.04,0.76,1.0
qwen3-1.7b,edge_existence,0.75,none,100,100,0.0,47.5,318.1,4.0,0.0,0.0,0.0,0.77,1.0
qwen3-1.7b,edge_existence,0.75,filler,100,100,0.0,65.5,273.9000000000001,5.0,0.0,0.0,0.01,0.76,1.0
qwen3-1.7b,edge_existence,0.75,degree,100,96,0.04,358.0,437.5,10.0,0.05,0.0,0.02,0.78,0.96
qwen3-1.7b,edge_existence,0.75,clustering,100,100,0.0,319.0,378.9000000000001,8.0,0.0,0.0,0.0,0.82,1.0
qwen3-1.7b,edge_existence,0.75,rwse,100,100,0.0,320.0,367.0,9.5,0.0,0.0,0.0,0.77,1.0
qwen3-1.7b,edge_existence,0.75,components,100,100,0.0,54.0,303.70000000000005,4.0,0.0,0.0,0.0,0.77,1.0
qwen3-1.7b,edge_existence,0.75,all,100,100,0.0,376.0,421.0,12.0,0.0,0.0,0.06,0.86,1.0
qwen3-1.7b,edge_existence,0.85,none,100,100,0.0,120.0,343.2000000000001,5.0,0.0,0.0,0.0,0.86,1.0
qwen3-1.7b,edge_existence,0.85,filler,100,100,0.0,41.0,302.80000000000007,4.0,0.0,0.04,0.0,0.85,1.0
qwen3-1.7b,edge_existence,0.85,degree,100,100,0.0,349.5,430.20000000000005,9.0,0.0,0.0,0.02,0.88,1.0
qwen3-1.7b,edge_existence,0.85,clustering,100,100,0.0,314.5,385.1,8.0,0.0,0.0,0.0,0.86,1.0
