arm,task,density,condition,matched,delta_vs_filler,delta_vs_none
qwen3-1.7b-think,node_degree,0.35,degree,1,0.2717391304347827,0.2282608695652174
qwen3-1.7b-think,node_degree,0.35,clustering,0,0.04999999999999993,0.010000000000000009
qwen3-1.7b-think,node_degree,0.35,rwse,0,0.08999999999999997,0.050000000000000044
qwen3-1.7b-think,node_degree,0.35,components,0,0.05999999999999994,0.020000000000000018
qwen3-1.7b-think,node_degree,0.35,all,0,0.2599999999999999,0.21999999999999997
qwen3-1.7b-think,node_degree,0.5,filler,0,0.0,-0.04999999999999993
qwen3-1.7b-think,node_degree,0.5,degree,1,0.2359550561797753,0.2134831460674157
qwen3-1.7b-think,node_degree,0.5,clustering,0,0.039999999999999925,-0.010000000000000009
qwen3-1.7b-think,node_degree,0.5,rwse,0,0.08080808080808077,0.04040404040404044
qwen3-1.7b-think,node_degree,0.5,components,0,0.029999999999999916,-0.020000000000000018
qwen3-1.7b-think,node_degree,0.5,all,0,0.22999999999999998,0.18000000000000005
qwen3-1.7b-think,node_degree,0.65,filler,0,0.0,-0.17171717171717177
qwen3-1.7b-think,node_degree,0.65,degree,1,0.40697674418604657,0.2325581395348838
qwen3-1.7b-think,node_degree,0.65,clustering,0,0.04040404040404039,-0.13
qwen3-1.7b-think,node_degree,0.65,rwse,0,0.08080808080808083,-0.09000000000000002
qwen3-1.7b-think,node_degree,0.65,components,0,0.11224489795918369,-0.06060606060606061
qwen3-1.7b-think,node_degree,0.65,all,0,0.4646464646464647,0.29999999999999993
qwen3-1.7b-think,node_degree,0.75,filler,0,0.0,-0.10526315789473684
qwen3-1.7b-think,node_degree,0.75,degree,1,0.3563218390804597,0.25
qwen3-1.7b-think,node_degree,0.75,clustering,0,0.02040816326530609,-0.09375
qwen3-1.7b-think,node_degree,0.75,rwse,0,0.030303030303030276,-0.08333333333333331
qwen3-1.7b-think,node_degree,0.75,components,0,0.02061855670103091,-0.0736842105263158
qwen3-1.7b-think,node_degree,0.75,all,0,0.3368421052631579,0.21505376344086025
