arm,task,density,condition,n,acc,acc_lo,acc_hi,f1,hit_cap_rate,parsed_rate,constant_gold,vs_none_delta,vs_none_fixed,vs_none_broke,vs_none_p,vs_none_lo,vs_none_hi,vs_filler_delta,vs_filler_fixed,vs_filler_broke,vs_filler_churn,vs_filler_p,vs_filler_lo,vs_filler_hi,vs_none_churn,vs_none_q,vs_filler_q
qwen3-1.7b,cycle_check,0.35,rwse,100,0.87,0.7901947810519012,0.9224290614158575,0.87,0.0,1.0,1,-0.1208791208791209,0,11,0.0009765625,-0.1978021978021978,-0.054945054945054944,-0.13186813186813184,0,12,12.0,0.00048828125,-0.2087912087912088,-0.06593406593406594,11.0,0.005859375,0.00390625
qwen3-1.7b,cycle_check,0.35,components,93,0.989247311827957,0.9415794088135158,0.9980994069020442,0.989247311827957,0.07,1.0,1,-0.011904761904761862,0,1,1.0,-0.03571428571428571,0.0,-0.011627906976744207,0,1,1.0,1.0,-0.03488372093023256,0.0,1.0,1.0,1.0
qwen3-1.7b,cycle_check,0.35,all,99,0.98989898989899,0.944983344585968,0.9982147386799481,0.98989898989899,0.01,1.0,1,-0.011111111111111072,0,1,1.0,-0.03333333333333333,0.0,-0.011111111111111072,0,1,1.0,1.0,-0.03333333333333333,0.0,1.0,1.0,1.0
qwen3-1.7b,cycle_check,0.5,none,99,1.0,0.9626454664260378,1.0,1.0,0.01,1.0,1,0.0,0,0,,,,0.0,0,0,0.0,1.0,0.0,0.0,,,1.0
qwen3-1.7b,cycle_check,0.5,filler,99,1.0,0.9626454664260378,1.0,1.0,0.01,1.0,1,0.0,0,0,1.0,0.0,0.0,0.0,0,0,,,,,0.0,1.0,
qwen3-1.7b,cycle_check,0.5,degree,77,0.8311688311688312,0.7322690482024222,0.8985942696933148,0.8311688311688312,0.23,0.987012987012987,1,-0.17105263157894735,0,13,0.000244140625,-0.2631578947368421,-0.09210526315789473,-0.16883116883116878,0,13,13.0,0.000244140625,-0.2597402597402597,-0.09090909090909091,13.0,0.0029296875,0.00390625
qwen3-1.7b,cycle_check,0.5,clustering,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.0,0,0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,cycle_check,0.5,rwse,100,0.93,0.8625032899347025,0.965681175635936,0.93,0.0,1.0,1,-0.07070707070707072,0,7,0.015625,-0.12121212121212122,-0.020202020202020204,-0.07070707070707072,0,7,7.0,0.015625,-0.12121212121212122,-0.030303030303030304,7.0,0.075,0.075
qwen3-1.7b,cycle_check,0.5,components,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.0,1.0,1,0.0,0,0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
qwen3-1.7b,cycle_check,0.5,all,100,0.99,0.9455124752390653,0.9982326134344526,0.99,0.0,1.0,1,-0.010101010101010055,0,1,1.0,-0.030303030303030304,0.0,-0.010101010101010055,0,1,1.0,1.0,-0.030303030303030304,0.0,1.0,1.0,1.0
qwen3-1.7b,edge_existence,0.1,none,100,0.89,0.8136853697209698,0.9374586804477487,0.89,0.0,1.0,0,0.0,0,0,,,,0.050000000000000044,9,4,13.0,0.266845703125,-0.02,0.12,,,0.4150933159722222
qwen3-1.7b,edge_existence,0.1,filler,100,0.84,0.7557955544110557,0.8990479765052628,0.84,0.0,1.0,0,-0.050000000000000044,4,9,0.266845703125,-0.13,0.02,0.0,0,0,,,,,13.0,0.5603759765625,
qwen3-1.7b,edge_existence,0.1,degree,100,0.83,0.7445181876635703,0.8910652394022684,0.83,0.0,1.0,0,-0.06000000000000005,1,7,0.0703125,-0.12,-0.01,-0.010000000000000009,4,5,9.0,1.0,-0.07,0.05,8.0,0.24609375,1.0
qwen3-1.7b,edge_existence,0.1,clustering,100,0.84,0.7557955544110557,0.8990479765052628,0.84,0.0,1.0,0,-0.050000000000000044,4,9,0.266845703125,-0.12,0.02,0.0,5,5,10.0,1.0,-0.06,0.06,13.0,0.5603759765625,1.0
qwen3-1.7b,edge_existence,0.1,rwse,99,0.9191919191919192,0.8485803066346849,0.958486094510377,0.9191919191919192,0.01,1.0,0,0.030303030303030387,6,3,0.5078125,-0.030303030303030304,0.09090909090909091,0.08080808080808088,10,2,12.0,0.03857421875,0.010101010101010102,0.1414141414141414,9.0,0.76171875,0.081005859375
qwen3-1.7b,edge_existence,0.1,components,100,0.86,0.7786263961619276,0.914737342455351,0.86,0.0,1.0,0,-0.030000000000000027,2,5,0.453125,-0.08,0.02,0.020000000000000018,6,4,10.0,0.75390625,-0.04,0.08,7.0,0.76125,0.989501953125
qwen3-1.7b,edge_existence,0.1,all,100,0.89,0.8136853697209698,0.9374586804477487,0.89,0.0,1.0,0,0.0,6,6,1.0,-0.07,0.07,0.050000000000000044,10,5,15.0,0.3017578125,-0.02,0.13,12.0,1.0,0.45263671875
qwen3-1.7b,edge_existence,0.2,none,100,0.73,0.6356769977376873,0.8073053908233518,0.73,0.0,1.0,0,0.0,0,0,,,,0.19999999999999996,25,5,30.0,0.00032491423189640045,0.1,0.3,,,0.001049722903049909
qwen3-1.7b,edge_existence,0.2,filler,100,0.53,0.4328868313724773,0.6248934801789626,0.53,0.0,1.0,0,-0.19999999999999996,5,25,0.00032491423189640045,-0.3,-0.1,0.0,0,0,,,,,30.0,0.003380584716796875,
qwen3-1.7b,edge_existence,0.2,degree,100,0.7,0.6041496156718804,0.7810524613377188,0.7,0.0,1.0,0,-0.030000000000000027,12,15,0.7011080384254456,-0.13,0.08,0.16999999999999993,23,6,29.0,0.002315700054168701,0.07,0.27,27.0,0.9498883101247972,0.0064839601516723635
qwen3-1.7b,edge_existence,0.2,clustering,100,0.74,0.6462882736813838,0.8159542187301354,0.74,0.0,1.0,0,0.010000000000000009,16,15,1.0,-0.1,0.12,0.20999999999999996,24,3,27.0,4.9233436584472656e-05,0.12,0.31,31.0,1.0,0.00018798221241344106
qwen3-1.7b,edge_existence,0.2,rwse,100,0.68,0.5833719774632081,0.7633098918454312,0.68,0.0,1.0,0,-0.04999999999999993,11,16,0.44206833839416504,-0.15,0.04,0.15000000000000002,22,7,29.0,0.008130058646202087,0.05,0.25,27.0,0.76125,0.020086027243558097
qwen3-1.7b,edge_existence,0.2,components,100,0.62,0.5220957382071033,0.7090255079986562,0.62,0.0,1.0,0,-0.10999999999999999,6,17,0.03468966484069824,-0.2,-0.02,0.08999999999999997,12,3,15.0,0.03515625,0.02,0.16,23.0,0.1324514475735751,0.07771381578947369
qwen3-1.7b,edge_existence,0.2,all,100,0.81,0.7222097592919214,0.8748534600729574,0.81,0.0,1.0,0,0.08000000000000007,16,8,0.15158963203430176,-0.02,0.18,0.28,32,4,36.0,1.941574737429619e-06,0.18,0.38,24.0,0.4244509696960449,1.0193267371505499e-05
qwen3-1.7b,edge_existence,0.35,none,100,0.66,0.5627754565831095,0.74538620502457,0.66,0.0,1.0,0,0.0,0,0,,,,0.32,33,1,34.0,4.0745362639427185e-09,0.23,0.41,,,2.852175384759903e-08
qwen3-1.7b,edge_existence,0.35,filler,100,0.34,0.25461379497543,0.43722454341689065,0.34,0.0,1.0,0,-0.32,1,33,4.0745362639427185e-09,-0.42,-0.22,0.0,0,0,,,,,34.0,1.7113052308559418e-07,
qwen3-1.7b,edge_existence,0.35,degree,100,0.67,0.5730516033971139,0.7543701620610456,0.67,0.0,1.0,0,0.010000000000000009,11,10,1.0,-0.08,0.1,0.33,33,0,33.0,2.3283064365386963e-10,0.24975000000000003,0.42,21.0,1.0,2.444721758365631e-09
qwen3-1.7b,edge_existence,0.35,clustering,100,0.72,0.6251178763865427,0.7986044083240164,0.72,0.0,1.0,0,0.05999999999999994,14,8,0.28627872467041016,-0.04,0.16,0.37999999999999995,39,1,40.0,7.457856554538012e-11,0.28,0.48,22.0,0.5725574493408203,1.5661498764529824e-09
qwen3-1.7b,edge_existence,0.35,rwse,100,0.76,0.6676748127670786,0.8330878873454004,0.76,0.0,1.0,0,0.09999999999999998,23,13,0.13249816396273673,-0.02,0.21,0.42,45,3,48.0,1.312585595769633e-10,0.31,0.53,36.0,0.3974944918882102,1.8376198340774863e-09
qwen3-1.7b,edge_existence,0.35,components,100,0.5,0.40382982859014716,0.5961701714098528,0.5,0.0,1.0,0,-0.16000000000000003,2,18,0.0004024505615234375,-0.25,-0.08,0.15999999999999998,17,1,18.0,0.00014495849609375,0.09,0.24,20.0,0.003380584716796875,0.000507354736328125
qwen3-1.7b,edge_existence,0.35,all,100,0.78,0.6892946528499969,0.849988254963442,0.78,0.0,1.0,0,0.12,26,14,0.0806904677519924,-0.01,0.24,0.44,45,1,46.0,1.3358203432289883e-12,0.34,0.55,40.0,0.2606922804295139,5.610445441561751e-11
qwen3-1.7b,edge_existence,0.5,none,100,0.54,0.44264685393523856,0.6343935614666815,0.54,0.0,1.0,0,0.0,0,0,,,,0.06000000000000005,6,0,6.0,0.03125,0.02,0.11,,,0.07291666666666667
