arm,task,cond,n_pairs,n_all,d_drop,p_drop,d_zero,p_zero,q_drop,q_zero,sig_drop,sig_zero,bh_flip,delta_shift
qwen3-1.7b-think,connected_nodes,all,392,400,6.122448979591832,0.0022325516199429227,6.25,0.0026263768106840383,0.006697654859828768,0.007879130432052114,True,True,False,0.12755102040816801
qwen3-1.7b-think,edge_count,components,27,400,7.4074074074074066,0.5,-0.7500000000000007,0.8198929037490487,1.0,0.8198929037490487,False,False,False,8.157407407407407
qwen3-1.7b-think,edge_count,clustering,23,400,-8.695652173913048,0.625,-1.250000000000001,0.6608836477612148,1.0,0.7930603773134577,False,False,False,7.4456521739130475
qwen3-1.7b-think,edge_count,rwse,25,400,-4.0000000000000036,1.0,-3.25,0.13603239487789212,1.0,0.4080971846336764,False,False,False,0.7500000000000036
qwen3-1.7b-think,edge_count,degree,13,400,-61.53846153846154,0.0078125,-3.25,0.23690187778029265,0.046875,0.47380375556058524,True,False,True,58.28846153846154
qwen3-1.7b-think,edge_count,filler,29,400,3.4482758620689724,1.0,-1.5000000000000013,0.5559977177609708,1.0,0.7930603773134577,False,False,False,4.948275862068973
qwen3-1.7b-think,edge_count,all,24,400,-8.333333333333325,0.6875,4.999999999999999,0.06956519633623019,1.0,0.4080971846336764,False,False,False,13.333333333333325
qwen3-4b-think,node_count,components,400,400,0.0,1.0,0.0,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b-think,node_count,clustering,399,400,0.5012531328320802,0.5,0.2500000000000058,1.0,0.6,1.0,False,False,False,0.2512531328320744
qwen3-4b-think,node_count,rwse,399,400,0.5012531328320802,0.5,0.2500000000000058,1.0,0.6,1.0,False,False,False,0.2512531328320744
qwen3-4b-think,node_count,degree,399,400,0.5012531328320802,0.5,0.2500000000000058,1.0,0.6,1.0,False,False,False,0.2512531328320744
qwen3-4b-think,node_count,filler,400,400,0.5000000000000004,0.5,0.5000000000000004,0.5,0.6,1.0,False,False,False,0.0
qwen3-4b-think,node_count,all,400,400,0.5000000000000004,0.5,0.5000000000000004,0.5,0.6,1.0,False,False,False,0.0
qwen3-4b-think,cycle_check,components,381,400,0.0,1.0,-3.2500000000000084,0.004425048828125,1.0,0.013275146484375,False,True,True,3.2500000000000084
qwen3-4b-think,cycle_check,clustering,394,400,0.0,1.0,0.0,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b-think,cycle_check,rwse,395,400,0.0,1.0,0.24999999999999467,1.0,1.0,1.0,False,False,False,0.24999999999999467
qwen3-4b-think,cycle_check,degree,375,400,-0.8000000000000007,0.25,-5.500000000000005,2.744048833847046e-05,1.0,0.00016464293003082275,False,True,True,4.700000000000005
qwen3-4b-think,cycle_check,filler,396,400,0.0,1.0,0.5000000000000004,0.625,1.0,1.0,False,False,False,0.5000000000000004
qwen3-4b-think,cycle_check,all,392,400,0.0,1.0,-0.5000000000000004,0.7265625,1.0,1.0,False,False,False,0.5000000000000004
qwen3-4b-think,edge_existence,components,396,400,0.0,1.0,-0.5000000000000004,0.625,1.0,0.9375,False,False,False,0.5000000000000004
qwen3-4b-think,edge_existence,clustering,396,400,0.0,1.0,-0.7500000000000062,0.25,1.0,0.5,False,False,False,0.7500000000000062
qwen3-4b-think,edge_existence,rwse,393,400,0.0,1.0,-1.2500000000000067,0.125,1.0,0.5,False,False,False,1.2500000000000067
qwen3-4b-think,edge_existence,degree,398,400,0.0,1.0,0.0,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b-think,edge_existence,filler,399,400,0.0,1.0,0.0,1.0,1.0,1.0,False,False,False,0.0
qwen3-4b-think,edge_existence,all,394,400,0.0,1.0,-1.0000000000000009,0.21875,1.0,0.5,False,False,False,1.0000000000000009
qwen3-4b-think,node_degree,components,380,400,-0.2631578947368429,1.0,0.2500000000000058,1.0,1.0,1.0,False,False,False,0.5131578947368487
qwen3-4b-think,node_degree,clustering,386,400,-0.2590673575129543,1.0,1.750000000000007,0.143463134765625,1.0,0.28692626953125,False,False,False,2.0090673575129614
qwen3-4b-think,node_degree,rwse,381,400,-2.099737532808399,0.0078125,-1.2499999999999956,0.42435622215270996,0.046875,0.6365343332290649,True,False,True,0.8497375328084034
qwen3-4b-think,node_degree,degree,388,400,0.0,1.0,2.500000000000002,0.012939453125,1.0,0.07763671875,False,False,False,2.500000000000002
qwen3-4b-think,node_degree,filler,386,400,0.0,1.0,2.0000000000000018,0.03857421875,1.0,0.11572265625,False,False,False,2.0000000000000018
qwen3-4b-think,node_degree,all,383,400,-0.7832898172323799,0.25,0.5000000000000004,0.8145294189453125,0.75,0.977435302734375,False,False,False,1.2832898172323803
qwen3-4b-think,connected_nodes,components,377,400,0.5305039787798393,0.625,0.5000000000000004,0.8318119049072266,1.0,0.855535551905632,False,False,False,0.030503978779838903
qwen3-4b-think,connected_nodes,clustering,373,400,0.0,1.0,-0.7499999999999951,0.7011080384254456,1.0,0.855535551905632,False,False,False,0.7499999999999951
qwen3-4b-think,connected_nodes,rwse,379,400,0.0,1.0,0.5000000000000004,0.8388197422027588,1.0,0.855535551905632,False,False,False,0.5000000000000004
