arm,design,task,condition,control,n,control_acc,condition_acc,delta_pp,b_helped_to_hurt,c_hurt_to_helped,p_value,density,none_acc,mid_range,contaminated,bh_significant,bh_global
qwen3-1.7b,lo,node_count,degree,filler,100,0.16,0.03,-13.0,16,3,0.004425048828125,0.1,0.02,False,True,True,True
qwen3-1.7b,lo,node_count,degree,filler,100,0.7,0.05,-65.0,68,3,5.057803134644878e-17,0.2,0.0,False,True,True,True
qwen3-1.7b,lo,node_count,degree,filler,100,0.99,0.45,-54.0,55,1,1.582067810090848e-15,0.35,0.28,False,True,True,True
qwen3-1.7b,lo,node_count,degree,filler,100,1.0,1.0,0.0,0,0,1.0,0.5,0.96,False,True,False,False
qwen3-1.7b,lo,node_count,all,filler,100,0.16,0.7,54.0,4,58,2.5917592724744587e-13,0.1,0.02,False,True,True,True
qwen3-1.7b,lo,node_count,all,filler,100,0.7,0.52,-18.0,32,14,0.011351591436778108,0.2,0.0,False,True,True,False
qwen3-1.7b,lo,node_count,all,filler,100,0.99,0.94,-5.0,6,1,0.125,0.35,0.28,False,True,False,False
qwen3-1.7b,lo,node_count,all,filler,100,1.0,0.98,-2.0,2,0,0.5,0.5,0.96,False,True,False,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.96,0.92,-4.0,4,0,0.125,0.1,0.91,False,False,False,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.73,0.82,9.0,6,15,0.0783538818359375,0.2,0.8,True,False,False,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.41,0.44,3.0,10,13,0.6776394844055176,0.35,0.41,True,False,False,False
qwen3-1.7b,lo,node_degree,components,filler,100,0.3,0.31,1.0,10,11,1.0,0.5,0.3,True,False,False,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.96,0.93,-3.0,4,1,0.375,0.1,0.91,False,False,False,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.73,0.82,9.0,11,20,0.14961278438568115,0.2,0.8,True,False,False,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.41,0.47,6.0,12,18,0.361594608053565,0.35,0.41,True,False,False,False
qwen3-1.7b,lo,node_degree,clustering,filler,100,0.3,0.32,2.0,14,16,0.855535551905632,0.5,0.3,True,False,False,False
qwen3-1.7b,lo,node_degree,rwse,filler,100,0.96,0.94,-2.0,3,1,0.625,0.1,0.91,False,False,False,False
qwen3-1.7b,lo,node_degree,rwse,filler,100,0.73,0.84,11.0,3,14,0.012725830078125,0.2,0.8,True,False,True,False
qwen3-1.7b,lo,node_degree,rwse,filler,99,0.404,0.4747,7.07,15,22,0.3240086000878364,0.35,0.41,True,False,False,False
qwen3-1.7b,lo,node_degree,rwse,filler,100,0.3,0.33,3.0,13,16,0.711071103811264,0.5,0.3,True,False,False,False
qwen3-1.7b,lo,node_degree,degree,filler,100,0.96,0.94,-2.0,2,0,0.5,0.1,0.91,False,True,False,False
qwen3-1.7b,lo,node_degree,degree,filler,100,0.73,0.9,17.0,3,20,0.00048828125,0.2,0.8,True,True,True,True
qwen3-1.7b,lo,node_degree,degree,filler,100,0.41,0.59,18.0,9,27,0.00393317302223295,0.35,0.41,True,True,True,True
